id,title,slug,email,website,email_matches_site,city,founding_year,rag_score,sources,catalog_url
4871,Remington,remington,info@remington.ru,https://Remington.ru,yes,,,0.79,12,https://wearbase.ru/ru/brands/remington
591,RAX,rax,office@raxrussia.com,https://raxrussia.com,yes,,,0.788,5,https://wearbase.ru/ru/brands/rax
450,BREGEDA,bregeda,sale@bregeda.store,https://bregeda.store,yes,,,0.779,6,https://wearbase.ru/ru/brands/bregeda
611,"GRUNGE JOHN ORCHESTRA EXPLOSION",grunge-john-orchestra-explosion,client@grungejohn.com,https://www.grungejohn.com,yes,Москва,,0.775,12,https://wearbase.ru/ru/brands/grunge-john-orchestra-explosion
389,TOPTOP,toptop,hello@toptop.ru,https://toptop.ru,yes,,,0.75,11,https://wearbase.ru/ru/brands/toptop
3232,KulturaKovrov,kulturakovrov,info@kulturakovrov.ru,https://kulturakovrov.ru/,yes,,,0.724,9,https://wearbase.ru/ru/brands/kulturakovrov
1027,"Ancient Greek Sandals",ancientgreeksandals,customercare@ancientgreeksandals.com,https://www.ancient-greek-sandals.com,no,,,0.723,8,https://wearbase.ru/ru/brands/ancientgreeksandals
6582,solis,solis,danila.solntse.03@mail.ru,https://solis-streetwear.ru,no,,,0.705,9,https://wearbase.ru/ru/brands/solis
1274,"Balunova Fashion Design Studio",balunova-fashion-design-studio,studio@balunova.ru,https://balunova.ru,yes,,,0.702,5,https://wearbase.ru/ru/brands/balunova-fashion-design-studio
869,Accross,accross,info@accross.ru,https://accross.ru,yes,,,0.701,8,https://wearbase.ru/ru/brands/accross
6599,"YOUR OWN CHOICE",your-own-choice,yourrownchoice_clothes@mail.ru,https://yourownchoice-clothing.ru,no,,,0.701,8,https://wearbase.ru/ru/brands/your-own-choice
6583,INSULAR,insular,info@insularfardas.com,https://www.joom.ru/ru/search/c.1597235725216983732-71-2-2-3575949265/f.brand.tree.632ac2273c6a73114eafeca9,no,,,0.699,7,https://wearbase.ru/ru/brands/insular
573,"Slava Zaitsev",slava-zaitsev,slava@zaitsev.info,,no,Москва,,0.696,9,https://wearbase.ru/ru/brands/slava-zaitsev
1428,BIVIUM,bivium,info@bivium.ru,https://bivium.ru,yes,,,0.689,5,https://wearbase.ru/ru/brands/bivium
6766,YUCAYTES,yucaytes,support@yucaytes.ru,https://yucaytes.ru/,yes,,,0.689,8,https://wearbase.ru/ru/brands/yucaytes
6787,Ravir,ravir,ravir.store@mail.ru,https://ravir.store,no,,,0.685,11,https://wearbase.ru/ru/brands/ravir
391,2MOOD,2mood,info@2mood.com,https://www.2moodstore.com,no,,,0.684,8,https://wearbase.ru/ru/brands/2mood
1878,Covani,covani,info@covani-shop.ru,http://www.covani-shop.ru,yes,,,0.669,4,https://wearbase.ru/ru/brands/covani
6615,KOLEGOV,kolegov,kolegov.store@mail.ru,https://kolegovstore.tilda.ws,no,,,0.667,13,https://wearbase.ru/ru/brands/kolegov
549,CONTE,conte,mainoffice@conte.by,https://conte.by,yes,,,0.661,6,https://wearbase.ru/ru/brands/conte
385,Urbantiger,urbantiger,shop@urbantiger.ru,https://urbantiger.ru,yes,,,0.661,14,https://wearbase.ru/ru/brands/urbantiger
1898,Crocs,crocs,crocs-ru@gmail.com,https://crocs-ru.ru,no,,,0.659,7,https://wearbase.ru/ru/brands/crocs
3867,Meoney,meoney,hello@meoney.ru,https://meoney.ru,yes,,,0.651,11,https://wearbase.ru/ru/brands/meoney
1492,"Bona Fide",bona-fide,sales@bonafide.ru,https://bonafide.ru,yes,,,0.647,14,https://wearbase.ru/ru/brands/bona-fide
1037,Angami,angami,angami@inbox.ru,https://angami.ru,no,,,0.645,11,https://wearbase.ru/ru/brands/angami
2722,Hadraga,hadraga,info@hadraga.ru,https://hadraga.ru,yes,,,0.64,10,https://wearbase.ru/ru/brands/hadraga
3428,LF-Label,lf-label,lf-label@mail.ru,https://lf-label.ru,no,,,0.639,11,https://wearbase.ru/ru/brands/lf-label
4113,"Mura Mura",muramura,shop@muramura.ru,https://muramura.ru,yes,,,0.638,10,https://wearbase.ru/ru/brands/muramura
1008,"AM One",am-one,info@altermoda.ru,http://i-am-one.ru,no,,,0.634,12,https://wearbase.ru/ru/brands/am-one
1600,Bybiol,bybiol,info@bybiol.ru,https://bybiol.ru,yes,,,0.628,8,https://wearbase.ru/ru/brands/bybiol
1306,"Bats New Era",batsnewera,batsclothes@gmail.com,https://bats-store.com,no,,,0.622,10,https://wearbase.ru/ru/brands/batsnewera
505,RETRIKA,retrika,retrika_shop@mail.ru,https://www.retrika-shop.ru,no,,,0.616,15,https://wearbase.ru/ru/brands/retrika
1130,Arshenova,arshenova,arshenova_wear@mail.ru,https://arshenova.ru,no,,,0.608,6,https://wearbase.ru/ru/brands/arshenova
6691,Dan4,dan4,office@odejdaizkirgizii.ru,https://www.odejdaizkirgizii.ru/index.php/magazin/kostyumy-sport/made-in-kyrgyzstan/aidan/dan-4l040-02-detail,yes,,,0.6,11,https://wearbase.ru/ru/brands/dan4
1704,Cep,cep,sale@alpindustria.ru,https://cep-sports.ru,no,,,0.592,9,https://wearbase.ru/ru/brands/cep
1326,"Beautiful Birds",beautifulbirds,shop@bb1birds.ru,https://bb1birds.ru,yes,,,0.591,10,https://wearbase.ru/ru/brands/beautifulbirds
770,"Хорошие брюки",khoroshiye-bryuki,opt@claude.ru,https://claude.ru/index.php/homepage,yes,,,0.588,8,https://wearbase.ru/ru/brands/khoroshiye-bryuki
6591,ПОТОК,potok,ar-decospb@yandex.ru,https://spbfabrika.ru,no,,,0.582,10,https://wearbase.ru/ru/brands/potok
5747,Uniize,uniize,hello@uniize.com,https://uniize.ru,no,,,0.581,14,https://wearbase.ru/ru/brands/uniize
1541,Brikoly,brikoly,brikoly@mail.ru,https://brikoly.ru,no,,,0.579,10,https://wearbase.ru/ru/brands/brikoly
